# Gauge observations at 10min resolution.
# Only hours where at least one observation of 0.1 mm was obtained.
# Unit: mm, Timestamp: UTC linux time,
TIMESTAMP,ABO,AGATT,AGSTE,AIE,AIG,AIR,ALS,ALT,AMW,AND,ANT,APP,ARH
1451610600,0.2,,0.3,0,0,,,0,,,,,
1451611200,0.1,,0,0,0,,,0.1,,,,,
1451611800,0,,0,0,0,,,0,,,,,
1451612400,0.1,,0.1,0.1,0,,,0.1,,,,,
1451613000,0,,0,0.1,0,,,0,,,,,
1451613600,0.1,,0,0,0.1,,,0.3,,,,,
1451614200,0,,,0.2,0.1,,,0.3,,,,,0
1451614800,0,,,0.1,0,,,0.2,,,,,0
1451615400,0,,,0,0.6,,,0,,,,,0
1451616000,0,,,0,0.2,,,0.1,,,,,0
1451616600,0,,,0.1,0,,,0,,,,,0
